id,obj_1,obj_2,obj_3,odd,reason_for_similarity,obj_4
3939,Lemon,Lime,Orange,Strawberry,The others are citrus fruits,Strawberry
3940,Pineapple,Pear,Plum,Pineapple,The others are pome fruits,Peach
3941,Apple,Mango,Kiwi,Apple,The others are tropical fruits,Papaya
3942,Lime,Kiwi,Mango,Lime,The others have large seeds,Avocado
3943,Apple,Peach,Banana,Coconut,The others do not have a hard shell,Coconut
3946,Passionfruit,Pear,Pomegranate,Pear,The others have a hard outer shell,Lychee
3947,Breadfruit,Jackfruit,Durian,Orange,The others are large tropical fruits,Orange
3948,Kumquat,Limequat,Apricot,Apricot,The others are hybrid citrus fruits,Calamondin
3949,Plantain,Raspberry,Guava,Raspberry,The others are fruits eaten in the Caribbean,Banana
3950,Raisin,Currant,Mango,Mango,The others are fruits that can be dried,Grape
3951,Pear,Raspberry,Mulberry,Pear,The others are aggregate fruits,Blackberry
3952,Cherry,Plum,Kiwi,Kiwi,The others are fruits with a single pit,Peach
3953,Orange,Raspberry,Strawberry,Orange,The others are fruits that grow on bushes,Blueberry
3954,Kiwi,Papaya,Pineapple,Apple,The others are fruits with a high vitamin C content,Apple
3955,Avocado,Pear,Banana,Pear,The others are fruits with a high potassium content,Peach
3956,Papaya,Pineapple,Mango,Apple,The others are fruits that grow in tropical climates,Apple
3957,Orange,Prune,Fig,Orange,The others are fruits that are often dried,Date
3958,Raspberry,Banana,Blackberry,Banana,The others are fruits with seeds on the outside,Strawberry
3959,Whitecurrant,Lemon,Blackcurrant,Lemon,The others are currants,Redcurrant
3960,Mandarin,Papaya,Lemon,Papaya,The others are fruits used for marmalade,Lime
3961,Strawberry,Blackberry,Raspberry,Pear,The others are fruits used for jam,Pear
3962,Apple,Peach,Kiwi,Kiwi,The others are fruits used for pies,Cherry
3963,Raspberry,Papaya,Blueberry,Papaya,The others are fruits used for tarts,Strawberry
3964,Banana,Peach,Plum,Banana,The others are fruits used for cobblers,Apricot
3965,Banana,Kiwi,Grape,Banana,The others are vine fruits,Melon
3968,Lime,Pineapple,Lemon,Pineapple,The others are citrus fruits.,Orange
3969,Raspberry,Blackberry,Cherry,Cherry,The others are aggregate fruits.,Blueberry
3970,Cantaloupe,Honeydew,Grapefruit,Grapefruit,The others are melons.,Watermelon
3971,Apricot,Fig,Prune,Apricot,The others are dried fruits.,Date
3972,Pomegranate,Lychee,Guava,Pear,The others are tropical fruits.,Pear
3973,Almond,Coconut,Banana,Banana,The others are nuts.,Walnut
3974,Plum,Apricot,Apple,Apple,The others are stone fruits.,Peach
3975,Raspberry,Blackberry,Strawberry,Strawberry,The others are fruits in the rose family.,Blueberry
3976,Pear,Plum,Apricot,Pear,The others are drupes.,Peach
3977,Blueberry,Raspberry,Banana,Banana,The others are fruits with seeds on the outside.,Strawberry
3978,Grape,Peach,Plum,Grape,The others are fruits with a single large seed.,Nectarine
3979,Honeydew,Apple,Cantaloupe,Apple,The others are fruits with high water content.,Watermelon
3980,Quince,Lemon,Apple,Lemon,The others are fruits with a core.,Pear
3981,Watermelon,Honeydew,Cantaloupe,Orange,The others are fruits with high vitamin A.,Orange
3982,Pear,Apple,Lemon,Lemon,The others have pips on the inside,Peach
3983,Grape,Banana,Zucchini,Grape,The others are classified as berries,Cucumber
3984,Strawberry,Blueberry,Blackberry,Strawberry,The others are true berries,Raspberry
3985,Grapefruit,Orange,Lime,Grapefruit,The others are small citrus fruits,Lemon
3986,Strawberry,Cherry,Raspberry,Grape,The others are red when ripe,Grape
3987,Apricot,Peach,Plum,Raspberry,The others are drupes,Raspberry
3988,Plum,Peach,Cherry,Kiwi,The others have a single hard seed,Kiwi
3989,Grape,Strawberry,Raspberry,Strawberry,The others are small and round,Blueberry
3990,Blueberry,Raspberry,Grape,Grape,The others have seeds on the outside,Strawberry
3991,Banana,Cucumber,Apple,Apple,The others are technically berries,Zucchini
3992,Kiwi,Pear,Apple,Banana,The others are fruits with a core,Banana
3993,Blueberry,Apple,Cherry,Apple,The others are small and round fruits,Grape
3994,Banana,Orange,Pear,Orange,The others are fruits that ripen after being picked,Apple
3995,Apple,Grapefruit,Peach,Grapefruit,The others are fruits with a sweet taste,Pear
3996,Lemon,Orange,Lime,Banana,The others are fruits that are commonly used in drinks,Banana
3997,Pineapple,Blueberry,Strawberry,Pineapple,The others are fruits that are commonly used in pies,Raspberry
3998,Apple,Banana,Orange,Tomato,The others are fruits that are commonly eaten raw,Tomato
3999,Lemon,Peach,Lime,Peach,The others are fruits that are commonly used for juice,Grapefruit
4000,Lemon,Orange,Kiwi,Kiwi,The others are fruits that are commonly used for zest,Lime
4001,Kiwi,Lemon,Orange,Kiwi,The others are fruits that are commonly used in marmalades,Grapefruit
4002,Daisy,Rose,Daffodil,Daisy,The others are bulb flowers,Tulip
4003,Daisy,Poinsettia,Geranium,Poinsettia,The others are sun-loving flowers,Sunflower
4004,Lily,Orchid,Tulip,Orchid,The others are spring blooming flowers,Iris
4005,Lilac,Rose,Jasmine,Daisy,The others are fragrant flowers,Daisy
4006,Dahlia,Violet,Aster,Violet,The others are autumn blooming flowers,Marigold
4007,Lily,Orchid,Hyacinth,Orchid,The others are Easter flowers,Tulip
4008,Geranium,Azalea,Camellia,Geranium,The others are acid-loving flowers,Rhododendron
4009,Pansy,Marigold,Begonia,Rose,The others are bedding flowers,Rose
4010,Daffodil,Lilac,Lavender,Daffodil,The others are purple flowers,Rose
4011,Daisy,Sunflower,Lily,Lily,The others have ray florets,Marigold
4012,Orchid,Pansy,Violet,Geranium,The others are edible flowers,Geranium
4013,Rose,Lily,Tulip,Rose,The others have a cup-like shape,Daisy
4014,Rose,Sunflower,Lavender,Sunflower,The others are used in perfumery,Jasmine
4015,Tulip,Daisy,Marigold,Tulip,The others have composite heads,Sunflower
4016,Tulip,Peony,Sunflower,Sunflower,The others are perennial flowers,Iris
4017,Daisy,Lily,Lavender,Lavender,The others are used in weddings,Rose
4018,Sunflower,Pansy,Marigold,Pansy,The others are summer flowers,Daisy
4019,Tulip,Orchid,Rose,Dandelion,The others are ornamental flowers,Dandelion
4020,Pansy,Geranium,Orchid,Orchid,The others are container flowers,Marigold
4021,Marigold,Daisy,Rose,Rose,The others are heliotropic flowers,Sunflower
4022,Carnation,Pansy,Iris,Carnation,The others are winter flowers,Violet
4023,Rose,Tulip,Lily Pad,Lily Pad,The others are flowering plants,Daisy
4024,Hibiscus,Peony,Rose of Sharon,Peony,The others are types of Hibiscus,Mallow
4025,Carnation,Pansy,Peony,Pansy,The others have a clove-like fragrance,Geranium
4026,Rose,Coneflower,Sunflower,Rose,The others have a disk-like center,Daisy
4027,Orchid,Daffodil,Lily,Daffodil,The others are bilaterally symmetrical flowers,Snapdragon
4028,Calibrachoa,Marigold,Petunia,Marigold,The others are in the Solanaceae family,Verbena
4029,Begonia,Geranium,Impatiens,Azalea,The others are shade-loving flowers,Azalea
4030,Dahlia,Aster,Rose,Rose,The others have a composite flower head,Zinnia
4031,Camellia,Rhododendron,Azalea,Lilac,The others belong to the Ericaceae family,Lilac
4032,Monkshood,Oleander,Daffodil,Daffodil,The others are highly toxic flowers,Foxglove
4033,Calendula,Marigold,Rose,Rose,The others are used in Dia de los Muertos celebrations,Chrysanthemum
4034,Hyacinth,Rose,Tulip,Rose,The others are spring-blooming bulbs,Crocus
4035,Asiatic Lily,Tiger Lily,Daylily,Orchid,The others are types of Lilies,Orchid
4036,Pansy,Daisy,Violet,Daisy,The others have heart-shaped leaves,Petunia
4037,Iris,Gladiolus,Amaryllis,Rose,The others are sword-shaped leaves,Rose
4038,Chrysanthemum,Dahlia,Zinnia,Orchid,The others are native to the Americas,Orchid
4039,Daisy,Poppy,Rose,Rose,The others have a central disk with radiating petals,Sunflower
4040,Sage,Rose,Lavender,Rose,The others are aromatic herbs,Rosemary
4041,Jonquil,Daffodil,Lily,Lily,The others are types of Narcissus,Narcissus
4042,Tulip,Daisy,Sunflower,Tulip,The others belong to the Asteraceae family,Aster
4043,Wisteria,Lilac,Rose,Rose,The others are spring-blooming shrubs,Forsythia
4044,Tulip,Rose,Orchid,Orchid,The others are traditionally given on Valentine's Day,Carnation
4045,Holly,Mistletoe,Rose,Rose,The others are associated with Christmas,Poinsettia
4046,Tuberose,Lily,Jasmine,Lily,The others are night-blooming flowers,Gardenia
4047,Narcissus,Hyacinth,Lily of the Valley,Rose,The others are poisonous if ingested,Rose
4048,Rose,Rhododendron,Azalea,Rose,The others can change color based on soil pH,Hydrangea
4049,Marigold,Aster,Orchid,Orchid,The others are composite flowers,Zinnia
4050,Lily,Daffodil,Narcissus,Lily,The others are types of Narcissi,Jonquil
4051,Dahlia,Pansy,Geranium,Dahlia,The others have five-petal flowers,Petunia
4052,Daisy,Sunflower,Lotus,Lotus,The others are Asteraceae family,Aster
4053,Camellia,Magnolia,Azalea,Magnolia,The others are Ericaceae family,Rhododendron
4054,Foxglove,Snapdragon,Begonia,Begonia,The others are poisonous plants,Digitalis
4055,Dahlia,Lily,Zinnia,Lily,The others are autumn bloomers,Chrysanthemum
4056,Jasmine,Gardenia,Tuberose,Honeysuckle,The others are night bloomers,Honeysuckle
4057,Hibiscus,Poppy,Orchid,Orchid,The others have edible parts,Rose
4058,Sunflower,Marigold,Rose,Rose,The others are heliotropic,Daisy
4059,Orchid,Daisy,Bromeliad,Daisy,The others are epiphytes,Anthurium
4060,Rose,Yarrow,Chamomile,Rose,The others are medicinal plants,Dandelion
4061,Thyme,Rose,Lavender,Rose,The others are culinary herbs,Rosemary
4062,Iris,Hyacinth,Lily,Carnation,The others are bulbous flowers,Carnation
4063,Dahlia,Chrysanthemum,Aster,Hibiscus,The others have more than one flower head,Hibiscus
4064,Peony,Snapdragon,Bellflower,Peony,The others have bell-shaped flowers,Foxglove
4065,Lilac,Passion Flower,Poppy,Lilac,The others are known for their distinct seed pods,Morning Glory
4066,Cornflower,Bluebell,Camellia,Camellia,The others are blue flowers,Forget-me-not
4067,Zinnia,Cosmos,Rhododendron,Rhododendron,The others are annuals,Marigold
4068,Dogwood,Cherry Blossom,Magnolia,Dandelion,The others are tree flowers,Dandelion
4069,Black-eyed Susan,Iris,Daisy,Iris,The others have a yellow center,Sunflower
4070,Hydrangea,Rhododendron,Azalea,Lily,The others are acid soil loving flowers,Lily
4071,Gerbera,Calendula,Gazania,Rose,The others are daisy-like flowers,Rose
4072,Camellia,Lavender,Ranunculus,Lavender,The others have many petals,Peony
4073,Dandelion,Hibiscus,Oleander,Dandelion,The others are shrubs,Bougainvillea
4074,Lily of the Valley,Snowdrop,Hyacinth,Iris,The others bloom in spring,Iris
4075,Tulip,Sunflower,Crocus,Sunflower,The others are early bloomers,Snowdrop
4076,Iris,Gladiolus,Tulip,Tulip,The others have corms,Crocus
4077,Pansy,Petunia,Geranium,Orchid,The others are bedding plants,Orchid
4078,Sunflower,Iris,Tulip,Sunflower,The others have bulbs,Lily
4079,Bamboo,Iris,Hyacinth,Bamboo,The others are bulb plants,Tulip
4080,Tulip,Orchid,Daffodil,Orchid,The others have bulbous roots,Lily of the Valley
4081,Sunflower,Dandelion,Rose,Rose,The others are Heliantheae tribe,Aster
4082,Narcissus,Daffodil,Marigold,Marigold,The others are Amaryllidaceae family,Jonquil
4083,Gladiolus,Iris,Daisy,Daisy,The others are Iridaceae family,Crocus
4084,Hibiscus,Geranium,Poppy,Lily,The others have 5 petals,Lily
4085,Daisy,Tulip,Sunflower,Tulip,The others have ray and disc florets,Aster
4086,Daffodil,Rose,Narcissus,Rose,The others are Narcissus genus,Jonquil
4087,Daffodil,Tulip,Iris,Iris,The others have tepals not petals,Crocus
4088,Iris,Peony,Rose,Iris,The others have multiple layers of petals,Carnation
4089,Lotus,Sunflower,Marigold,Lotus,The others are common wildflowers,Daisy
4090,Lavender,Rose,Rosemary,Rose,The others are also herbs,Sage
4091,Daisy,Pansy,Poppy,Daisy,The others have five petals,Petunia
4092,Sunflower,Orchid,Rose,Sunflower,The others are often given as gifts,Tulip
4093,Azalea,Hibiscus,Marigold,Marigold,The others are used in tea,Camellia
4094,Daisy,Jasmine,Rose,Jasmine,The others are used to symbolize love,Sunflower
4095,Dahlia,Iris,Chrysanthemum,Iris,The others are autumn-blooming flowers,Zinnia
4096,Daffodil,Jonquil,Narcissus,Tulip,The others are from the Amaryllidaceae family,Tulip
4097,Orchid,Sunflower,Dandelion,Orchid,The others have composite flower heads,Daisy
4098,Rose,Hibiscus,Jasmine,Tulip,The others are used to make tea,Tulip
4099,Sunflower,Daisy,Marigold,Lotus,The others are Asteraceae,Lotus
4100,Sunflower,Dandelion,Daisy,Orchid,The others are native to North America,Orchid
4101,Carnation,Lily,Iris,Carnation,The others have sword-shaped leaves,Gladiolus
4102,Rhododendron,Azalea,Orchid,Orchid,The others are acid-loving plants,Hydrangea
4103,Rose,Orchid,Tulip,Orchid,The others are non-tropical flowers,Daisy
4104,Water Lily,Lotus,Iris,Rose,The others are water-loving flowers,Rose
4105,Peony,Daffodil,Rose,Daffodil,The others are often used in wedding bouquets,Carnation
4106,Dahlia,Orchid,Daisy,Orchid,The others have disc-shaped flowers,Sunflower
4107,Daisy,Hibiscus,Marigold,Hibiscus,The others have ray-like petals,Sunflower
4108,Daffodil,Tulip,Rose,Daffodil,The others are often used in Valentine's bouquets,Carnation
4109,Lily,Dandelion,Orchid,Dandelion,The others are often used in funeral arrangements,Iris
4110,Sunflower,Marigold,Daisy,Rose,The others have composite flowers,Rose
4111,Daisy,Orchid,Bird of Paradise,Daisy,The others are exotic flowers,Lily
4112,Daffodil,Orchid,Carnation,Daffodil,The others are often used in perfume making,Rose
4113,Hibiscus,Daisy,Sunflower,Hibiscus,The others have disc florets,Marigold
4114,Daisy,Hibiscus,Orchid,Daisy,The others have complex flower structures,Lily
4115,Orchid,Lily,Tulip,Poinsettia,The others are spring flowers,Poinsettia
4116,Rose,Orchid,Lily,Lotus,The others are often grown in gardens,Lotus
4117,Sunflower,Daisy,Rose,Sunflower,The others have medicinal uses,Poppy
4118,Peony,Rose,Dahlia,Rose,The others have double flowers,Hydrangea
4119,Rose,Fern,Daisy,Fern,The others are used in Valentine's Day,Tulip
4120,Lily,Sunflower,Tulip,Sunflower,The others are used in corsages,Orchid
4121,Daffodil,Tulip,Lotus,Lotus,The others are used in spring festivals,Iris
4122,Lily,Rose,Dandelion,Dandelion,The others are used in beauty products,Orchid
4123,Carnation,Rose,Lavender,Lavender,The others are used in teas,Daisy
4124,Rosemary,Basil,Mint,Mint,The others are Mediterranean herbs,Oregano
4125,Peppermint,Spearmint,Catmint,Lavender,The others are types of mint,Lavender
4126,Cilantro,Thyme,Lavender,Cilantro,The others are part of the mint family,Rosemary
4127,Ginger,Dill,Cilantro,Ginger,The others are herbs also known by another name,Coriander
4128,Oregano,Chamomile,Thyme,Chamomile,The others are used in Italian cuisine,Marjoram
4129,Onion,Garlic,Chives,Parsley,The others are part of the Allium family,Parsley
4130,Dill,Parsley,Mint,Mint,The others are used in tabbouleh,Cilantro
4131,Rosemary,Oregano,Mint,Rosemary,The others are used in Greek cuisine,Basil
4132,Tarragon,Parsley,Basil,Basil,The others are used in béarnaise sauce,Chervil
4133,Basil,Cilantro,Oregano,Cilantro,The others are used in ratatouille,Thyme
4134,Dill,Cilantro,Rosemary,Rosemary,The others are used in tzatziki,Parsley
4135,Caraway,Cilantro,Fennel,Cilantro,The others are used in liquorice,Anise
4136,Sage,Cilantro,Thyme,Cilantro,The others are used in roasting,Rosemary
4137,Oregano,Ginger,Basil,Ginger,The others are used in mojitos,Mint
4138,Rosemary,Dill,Cilantro,Rosemary,The others are used in chimichurri,Parsley
4139,Aloe Vera,Cilantro,Dill,Aloe Vera,The others are used in cooking,Parsley
4140,Aloe Vera,Basil,Mint,Aloe Vera,The others are used in Asian cuisine,Coriander
4141,Dill,Parsley,Basil,Chamomile,The others are used in European cuisine,Chamomile
4142,Basil,Sage,Lemongrass,Lemongrass,The others are used in Mediterranean cuisine,Mint
4143,Parsley,Hawthorn,Dill,Hawthorn,The others are used in sauces,Cilantro
4144,Rosemary,Thyme,Sage,Milk Thistle,The others are used in poultry dishes,Milk Thistle
4145,Cilantro,Dill,Parsley,Peppermint,The others are used in soups,Peppermint
4146,Oregano,Rosemary,Thyme,Lavender,The others are used in pasta dishes,Lavender
4147,Thyme,Oregano,Licorice,Licorice,The others are used in tomato sauces,Marjoram
4148,Thyme,Sage,Rosemary,Turmeric,The others are used in Thanksgiving dishes,Turmeric
4149,Mint,Cilantro,Dill,Rosemary,The others are used in Asian cuisines,Rosemary
4150,Rosemary,Cumin,Thyme,Cumin,The others are used in potpourri,Lavender
4151,Parsley,Mint,Echinacea,Echinacea,The others are used in dips,Dill
4152,Thyme,Rosemary,Echinacea,Echinacea,The others are used in lamb dishes,Mint
4153,Oregano,Echinacea,Thyme,Echinacea,The others are used in stews,Rosemary
4154,Oregano,Thyme,Cilantro,Chamomile,The others are used in tacos,Chamomile
4155,Rosemary,Lavender,Basil,Basil,The others are woody herbs,Thyme
4156,Chervil,Cilantro,Parsley,Cilantro,The others are French herbs,Tarragon
4158,Thyme,Basil,Lavender,Basil,The others are native to the Mediterranean,Rosemary
4159,Thyme,Rosemary,Cilantro,Cilantro,The others are evergreen herbs,Sage
4160,Lavender,Mint,Chamomile,Cilantro,The others are used in aromatherapy,Cilantro
