obj_1,obj_2,obj_3,odd,reason_for_similarity,obj_4
Strawberry,Blackberry,Raspberry,Pear,The others are fruits used for jam,Pear
Apple,Peach,Kiwi,Kiwi,The others are fruits used for pies,Cherry
Raspberry,Papaya,Blueberry,Papaya,The others are fruits used for tarts,Strawberry
Banana,Peach,Plum,Banana,The others are fruits used for cobblers,Apricot
Banana,Kiwi,Grape,Banana,The others are vine fruits,Melon
Apple,Pear,Peach,Tomato,The others are pome fruits.,Tomato
Banana,Strawberry,Avocado,Strawberry,The others are berries.,Melon
Lime,Pineapple,Lemon,Pineapple,The others are citrus fruits.,Orange
Raspberry,Blackberry,Cherry,Cherry,The others are aggregate fruits.,Blueberry
Cantaloupe,Honeydew,Grapefruit,Grapefruit,The others are melons.,Watermelon
Apricot,Fig,Prune,Apricot,The others are dried fruits.,Date
Pomegranate,Lychee,Guava,Pear,The others are tropical fruits.,Pear
Almond,Coconut,Banana,Banana,The others are nuts.,Walnut
Plum,Apricot,Apple,Apple,The others are stone fruits.,Peach
Raspberry,Blackberry,Strawberry,Strawberry,The others are fruits in the rose family.,Blueberry
Pear,Plum,Apricot,Pear,The others are drupes.,Peach
Blueberry,Raspberry,Banana,Banana,The others are fruits with seeds on the outside.,Strawberry
Grape,Peach,Plum,Grape,The others are fruits with a single large seed.,Nectarine
Honeydew,Apple,Cantaloupe,Apple,The others are fruits with high water content.,Watermelon
Quince,Lemon,Apple,Lemon,The others are fruits with a core.,Pear
Watermelon,Honeydew,Cantaloupe,Orange,The others are fruits with high vitamin A.,Orange
Pear,Apple,Lemon,Lemon,The others have pips on the inside,Peach
Grape,Banana,Zucchini,Grape,The others are classified as berries,Cucumber
Strawberry,Blueberry,Blackberry,Strawberry,The others are true berries,Raspberry
Grapefruit,Orange,Lime,Grapefruit,The others are small citrus fruits,Lemon
Strawberry,Cherry,Raspberry,Grape,The others are red when ripe,Grape
Apricot,Peach,Plum,Raspberry,The others are drupes,Raspberry
Plum,Peach,Cherry,Kiwi,The others have a single hard seed,Kiwi
Grape,Strawberry,Raspberry,Strawberry,The others are small and round,Blueberry
Blueberry,Raspberry,Grape,Grape,The others have seeds on the outside,Strawberry
Banana,Cucumber,Apple,Apple,The others are technically berries,Zucchini
Kiwi,Pear,Apple,Banana,The others are fruits with a core,Banana
Blueberry,Apple,Cherry,Apple,The others are small and round fruits,Grape
Banana,Orange,Pear,Orange,The others are fruits that ripen after being picked,Apple
Apple,Grapefruit,Peach,Grapefruit,The others are fruits with a sweet taste,Pear
Lemon,Orange,Lime,Banana,The others are fruits that are commonly used in drinks,Banana
Pineapple,Blueberry,Strawberry,Pineapple,The others are fruits that are commonly used in pies,Raspberry
Apple,Banana,Orange,Tomato,The others are fruits that are commonly eaten raw,Tomato
Lemon,Peach,Lime,Peach,The others are fruits that are commonly used for juice,Grapefruit
Lemon,Orange,Kiwi,Kiwi,The others are fruits that are commonly used for zest,Lime
Kiwi,Lemon,Orange,Kiwi,The others are fruits that are commonly used in marmalades,Grapefruit
Daisy,Rose,Daffodil,Daisy,The others are bulb flowers,Tulip
Daisy,Poinsettia,Geranium,Poinsettia,The others are sun-loving flowers,Sunflower
Lily,Orchid,Tulip,Orchid,The others are spring blooming flowers,Iris
Lilac,Rose,Jasmine,Daisy,The others are fragrant flowers,Daisy
Dahlia,Violet,Aster,Violet,The others are autumn blooming flowers,Marigold
Lily,Orchid,Hyacinth,Orchid,The others are Easter flowers,Tulip
Geranium,Azalea,Camellia,Geranium,The others are acid-loving flowers,Rhododendron
Pansy,Marigold,Begonia,Rose,The others are bedding flowers,Rose
Daffodil,Lilac,Lavender,Daffodil,The others are purple flowers,Rose
Daisy,Sunflower,Lily,Lily,The others have ray florets,Marigold
Orchid,Pansy,Violet,Geranium,The others are edible flowers,Geranium
Rose,Lily,Tulip,Rose,The others have a cup-like shape,Daisy
Rose,Sunflower,Lavender,Sunflower,The others are used in perfumery,Jasmine
Tulip,Daisy,Marigold,Tulip,The others have composite heads,Sunflower
Tulip,Peony,Sunflower,Sunflower,The others are perennial flowers,Iris
Daisy,Lily,Lavender,Lavender,The others are used in weddings,Rose
Sunflower,Pansy,Marigold,Pansy,The others are summer flowers,Daisy
Tulip,Orchid,Rose,Dandelion,The others are ornamental flowers,Dandelion
Pansy,Geranium,Orchid,Orchid,The others are container flowers,Marigold
Marigold,Daisy,Rose,Rose,The others are heliotropic flowers,Sunflower
Carnation,Pansy,Iris,Carnation,The others are winter flowers,Violet
Rose,Tulip,Lily Pad,Lily Pad,The others are flowering plants,Daisy
Hibiscus,Peony,Rose of Sharon,Peony,The others are types of Hibiscus,Mallow
Carnation,Pansy,Peony,Pansy,The others have a clove-like fragrance,Geranium
Rose,Coneflower,Sunflower,Rose,The others have a disk-like center,Daisy
Orchid,Daffodil,Lily,Daffodil,The others are bilaterally symmetrical flowers,Snapdragon
Calibrachoa,Marigold,Petunia,Marigold,The others are in the Solanaceae family,Verbena
Begonia,Geranium,Impatiens,Azalea,The others are shade-loving flowers,Azalea
Dahlia,Aster,Rose,Rose,The others have a composite flower head,Zinnia
Camellia,Rhododendron,Azalea,Lilac,The others belong to the Ericaceae family,Lilac
Monkshood,Oleander,Daffodil,Daffodil,The others are highly toxic flowers,Foxglove
Calendula,Marigold,Rose,Rose,The others are used in Dia de los Muertos celebrations,Chrysanthemum
Hyacinth,Rose,Tulip,Rose,The others are spring-blooming bulbs,Crocus
Asiatic Lily,Tiger Lily,Daylily,Orchid,The others are types of Lilies,Orchid
Pansy,Daisy,Violet,Daisy,The others have heart-shaped leaves,Petunia
Iris,Gladiolus,Amaryllis,Rose,The others are sword-shaped leaves,Rose
Chrysanthemum,Dahlia,Zinnia,Orchid,The others are native to the Americas,Orchid
Daisy,Poppy,Rose,Rose,The others have a central disk with radiating petals,Sunflower
Sage,Rose,Lavender,Rose,The others are aromatic herbs,Rosemary
Jonquil,Daffodil,Lily,Lily,The others are types of Narcissus,Narcissus
Tulip,Daisy,Sunflower,Tulip,The others belong to the Asteraceae family,Aster
Wisteria,Lilac,Rose,Rose,The others are spring-blooming shrubs,Forsythia
Tulip,Rose,Orchid,Orchid,The others are traditionally given on Valentine's Day,Carnation
Holly,Mistletoe,Rose,Rose,The others are associated with Christmas,Poinsettia
Tuberose,Lily,Jasmine,Lily,The others are night-blooming flowers,Gardenia
Narcissus,Hyacinth,Lily of the Valley,Rose,The others are poisonous if ingested,Rose
Rose,Rhododendron,Azalea,Rose,The others can change color based on soil pH,Hydrangea
Marigold,Aster,Orchid,Orchid,The others are composite flowers,Zinnia
Lily,Daffodil,Narcissus,Lily,The others are types of Narcissi,Jonquil
Dahlia,Pansy,Geranium,Dahlia,The others have five-petal flowers,Petunia
Daisy,Sunflower,Lotus,Lotus,The others are Asteraceae family,Aster
Camellia,Magnolia,Azalea,Magnolia,The others are Ericaceae family,Rhododendron
Foxglove,Snapdragon,Begonia,Begonia,The others are poisonous plants,Digitalis
Dahlia,Lily,Zinnia,Lily,The others are autumn bloomers,Chrysanthemum
Jasmine,Gardenia,Tuberose,Honeysuckle,The others are night bloomers,Honeysuckle
Hibiscus,Poppy,Orchid,Orchid,The others have edible parts,Rose
Sunflower,Marigold,Rose,Rose,The others are heliotropic,Daisy
Orchid,Daisy,Bromeliad,Daisy,The others are epiphytes,Anthurium
Rose,Yarrow,Chamomile,Rose,The others are medicinal plants,Dandelion
Thyme,Rose,Lavender,Rose,The others are culinary herbs,Rosemary
Iris,Hyacinth,Lily,Carnation,The others are bulbous flowers,Carnation
Dahlia,Chrysanthemum,Aster,Hibiscus,The others have more than one flower head,Hibiscus
Peony,Snapdragon,Bellflower,Peony,The others have bell-shaped flowers,Foxglove
Lilac,Passion Flower,Poppy,Lilac,The others are known for their distinct seed pods,Morning Glory
Cornflower,Bluebell,Camellia,Camellia,The others are blue flowers,Forget-me-not
Zinnia,Cosmos,Rhododendron,Rhododendron,The others are annuals,Marigold
Dogwood,Cherry Blossom,Magnolia,Dandelion,The others are tree flowers,Dandelion
Black-eyed Susan,Iris,Daisy,Iris,The others have a yellow center,Sunflower
Hydrangea,Rhododendron,Azalea,Lily,The others are acid soil loving flowers,Lily
Gerbera,Calendula,Gazania,Rose,The others are daisy-like flowers,Rose
Camellia,Lavender,Ranunculus,Lavender,The others have many petals,Peony
Dandelion,Hibiscus,Oleander,Dandelion,The others are shrubs,Bougainvillea
Lily of the Valley,Snowdrop,Hyacinth,Iris,The others bloom in spring,Iris
Tulip,Sunflower,Crocus,Sunflower,The others are early bloomers,Snowdrop
Iris,Gladiolus,Tulip,Tulip,The others have corms,Crocus
Pansy,Petunia,Geranium,Orchid,The others are bedding plants,Orchid
Sunflower,Iris,Tulip,Sunflower,The others have bulbs,Lily
Bamboo,Iris,Hyacinth,Bamboo,The others are bulb plants,Tulip
Tulip,Orchid,Daffodil,Orchid,The others have bulbous roots,Lily of the Valley
Sunflower,Dandelion,Rose,Rose,The others are Heliantheae tribe,Aster
Narcissus,Daffodil,Marigold,Marigold,The others are Amaryllidaceae family,Jonquil
Gladiolus,Iris,Daisy,Daisy,The others are Iridaceae family,Crocus
Hibiscus,Geranium,Poppy,Lily,The others have 5 petals,Lily
Daisy,Tulip,Sunflower,Tulip,The others have ray and disc florets,Aster
Daffodil,Rose,Narcissus,Rose,The others are Narcissus genus,Jonquil
Daffodil,Tulip,Iris,Iris,The others have tepals not petals,Crocus
Iris,Peony,Rose,Iris,The others have multiple layers of petals,Carnation
Lotus,Sunflower,Marigold,Lotus,The others are common wildflowers,Daisy
Lavender,Rose,Rosemary,Rose,The others are also herbs,Sage
Daisy,Pansy,Poppy,Daisy,The others have five petals,Petunia
Sunflower,Orchid,Rose,Sunflower,The others are often given as gifts,Tulip
Azalea,Hibiscus,Marigold,Marigold,The others are used in tea,Camellia
Daisy,Jasmine,Rose,Jasmine,The others are used to symbolize love,Sunflower
Dahlia,Iris,Chrysanthemum,Iris,The others are autumn-blooming flowers,Zinnia
Daffodil,Jonquil,Narcissus,Tulip,The others are from the Amaryllidaceae family,Tulip
Orchid,Sunflower,Dandelion,Orchid,The others have composite flower heads,Daisy
Rose,Hibiscus,Jasmine,Tulip,The others are used to make tea,Tulip
Sunflower,Daisy,Marigold,Lotus,The others are Asteraceae,Lotus
Sunflower,Dandelion,Daisy,Orchid,The others are native to North America,Orchid
Carnation,Lily,Iris,Carnation,The others have sword-shaped leaves,Gladiolus
Rhododendron,Azalea,Orchid,Orchid,The others are acid-loving plants,Hydrangea
Rose,Orchid,Tulip,Orchid,The others are non-tropical flowers,Daisy
Water Lily,Lotus,Iris,Rose,The others are water-loving flowers,Rose
Peony,Daffodil,Rose,Daffodil,The others are often used in wedding bouquets,Carnation
Dahlia,Orchid,Daisy,Orchid,The others have disc-shaped flowers,Sunflower
Daisy,Hibiscus,Marigold,Hibiscus,The others have ray-like petals,Sunflower
Daffodil,Tulip,Rose,Daffodil,The others are often used in Valentine's bouquets,Carnation
Lily,Dandelion,Orchid,Dandelion,The others are often used in funeral arrangements,Iris
Sunflower,Marigold,Daisy,Rose,The others have composite flowers,Rose
Daisy,Orchid,Bird of Paradise,Daisy,The others are exotic flowers,Lily
Daffodil,Orchid,Carnation,Daffodil,The others are often used in perfume making,Rose
Hibiscus,Daisy,Sunflower,Hibiscus,The others have disc florets,Marigold
Daisy,Hibiscus,Orchid,Daisy,The others have complex flower structures,Lily
Orchid,Lily,Tulip,Poinsettia,The others are spring flowers,Poinsettia
Rose,Orchid,Lily,Lotus,The others are often grown in gardens,Lotus
Sunflower,Daisy,Rose,Sunflower,The others have medicinal uses,Poppy
Peony,Rose,Dahlia,Rose,The others have double flowers,Hydrangea
Rose,Fern,Daisy,Fern,The others are used in Valentine's Day,Tulip
Lily,Sunflower,Tulip,Sunflower,The others are used in corsages,Orchid
Daffodil,Tulip,Lotus,Lotus,The others are used in spring festivals,Iris
Lily,Rose,Dandelion,Dandelion,The others are used in beauty products,Orchid
Carnation,Rose,Lavender,Lavender,The others are used in teas,Daisy
Rosemary,Basil,Mint,Mint,The others are Mediterranean herbs,Oregano
Peppermint,Spearmint,Catmint,Lavender,The others are types of mint,Lavender
Cilantro,Thyme,Lavender,Cilantro,The others are part of the mint family,Rosemary
Ginger,Dill,Cilantro,Ginger,The others are herbs also known by another name,Coriander
Oregano,Chamomile,Thyme,Chamomile,The others are used in Italian cuisine,Marjoram
Onion,Garlic,Chives,Parsley,The others are part of the Allium family,Parsley
Dill,Parsley,Mint,Mint,The others are used in tabbouleh,Cilantro
Rosemary,Oregano,Mint,Rosemary,The others are used in Greek cuisine,Basil
Tarragon,Parsley,Basil,Basil,The others are used in béarnaise sauce,Chervil
Basil,Cilantro,Oregano,Cilantro,The others are used in ratatouille,Thyme
Dill,Cilantro,Rosemary,Rosemary,The others are used in tzatziki,Parsley
Caraway,Cilantro,Fennel,Cilantro,The others are used in liquorice,Anise
Sage,Cilantro,Thyme,Cilantro,The others are used in roasting,Rosemary
Oregano,Ginger,Basil,Ginger,The others are used in mojitos,Mint
Rosemary,Dill,Cilantro,Rosemary,The others are used in chimichurri,Parsley
Aloe Vera,Cilantro,Dill,Aloe Vera,The others are used in cooking,Parsley
Aloe Vera,Basil,Mint,Aloe Vera,The others are used in Asian cuisine,Coriander
Dill,Parsley,Basil,Chamomile,The others are used in European cuisine,Chamomile
Basil,Sage,Lemongrass,Lemongrass,The others are used in Mediterranean cuisine,Mint
Parsley,Hawthorn,Dill,Hawthorn,The others are used in sauces,Cilantro
Rosemary,Thyme,Sage,Milk Thistle,The others are used in poultry dishes,Milk Thistle
Cilantro,Dill,Parsley,Peppermint,The others are used in soups,Peppermint
Oregano,Rosemary,Thyme,Lavender,The others are used in pasta dishes,Lavender
Thyme,Oregano,Licorice,Licorice,The others are used in tomato sauces,Marjoram
Thyme,Sage,Rosemary,Turmeric,The others are used in Thanksgiving dishes,Turmeric
Mint,Cilantro,Dill,Rosemary,The others are used in Asian cuisines,Rosemary
Rosemary,Cumin,Thyme,Cumin,The others are used in potpourri,Lavender
Parsley,Mint,Echinacea,Echinacea,The others are used in dips,Dill
Thyme,Rosemary,Echinacea,Echinacea,The others are used in lamb dishes,Mint
Oregano,Echinacea,Thyme,Echinacea,The others are used in stews,Rosemary
Oregano,Thyme,Cilantro,Chamomile,The others are used in tacos,Chamomile
Rosemary,Lavender,Basil,Basil,The others are woody herbs,Thyme
Chervil,Cilantro,Parsley,Cilantro,The others are French herbs,Tarragon
Coriander,Fennel,Rosemary,Rosemary,The others are seeds when dried,Cumin
Thyme,Basil,Lavender,Basil,The others are native to the Mediterranean,Rosemary
Thyme,Rosemary,Cilantro,Cilantro,The others are evergreen herbs,Sage
Lavender,Mint,Chamomile,Cilantro,The others are used in aromatherapy,Cilantro
Tarragon,Sage,Chervil,Sage,The others are used in Béarnaise sauce,Parsley
Echinacea,Peppermint,Cilantro,Cilantro,The others are used to aid sleep,Chamomile
Mint,Basil,Oregano,Mint,The others are used in pasta sauce,Dill
Oregano,Ginger,Sage,Ginger,The others are from the mint family,Marjoram
Basil,Ginger,Marjoram,Ginger,The others are used in pizza seasoning,Oregano
Dill,Parsley,Cilantro,Lavender,The others are used in salsa recipes,Lavender
Basil,Rosemary,Parsley,Rosemary,The others are used in pesto recipes,Coriander
Rosemary,Thyme,Cilantro,Cilantro,The others are used in stuffing recipes,Sage
Parsley,Cilantro,Lavender,Lavender,The others are used in salad recipes,Dill
Coriander,Thyme,Sage,Coriander,The others are used in Thanksgiving recipes,Rosemary
Oregano,Cilantro,Basil,Cilantro,The others are used in spaghetti sauce,Marjoram
Dill,Sage,Thyme,Dill,The others are used in lamb recipes,Rosemary
Marjoram,Ginger,Oregano,Ginger,The others are used in marinara sauce,Basil
Basil,Parsley,Dill,Basil,The others are used in ceviche recipes,Cilantro
Parsley,Oregano,Basil,Parsley,The others are used in lasagna recipes,Marjoram
Sage,Thyme,Mint,Mint,The others are used in marinades,Rosemary
Lavender,Cilantro,Chamomile,Cilantro,The others are used in tea blends,Lemon Balm
Lavender,Basil,Lemon Balm,Basil,The others have a minty flavor,Mint
Oregano,Cilantro,Basil,Cilantro,The others are used in lasagna,Thyme
Dill,Rosemary,Sage,Dill,The others are used in pot roast,Thyme
Cilantro,Parsley,Dill,Thyme,The others are used in hummus,Thyme
Rosemary,Chives,Bay leaves,Bay leaves,The others are used in sour cream dips,Dill
Oregano,Thyme,Basil,Ginger,The others are used in pasta sauces,Ginger
Sage,Anise,Dill,Sage,The others have a sweet flavor,Fennel
Dill,Parsley,Basil,Basil,The others are umbelliferous herbs,Fennel
Sage,Tarragon,Chives,Chives,The others are Lamiaceae family herbs,Rosemary
Chervil,Lavender,Parsley,Lavender,The others are Apiaceae family herbs,Cilantro
